Organisme,Acronyme,Annuaire
Agence nationale de la cohésion des territoires,ANCT,https://lannuaire.service-public.fr/gouvernement/administration-centrale-ou-ministere_172190
Caisse nationale des allocations familiales,CNAF,https://lannuaire.service-public.fr/gouvernement/etablissement-public_170809
Commissariat à l'énergie atomique et aux énergies alternatives,CEA,https://lannuaire.service-public.fr/gouvernement/etablissement-public_170735
Direction du numérique du Ministère de l’Europe et des Affaires étrangères,DNUM/MEAE,https://lannuaire.service-public.fr/gouvernement/administration-centrale-ou-ministere_172212
Direction du numérique pour l'Education,DNE/MENJ,https://lannuaire.service-public.fr/gouvernement/administration-centrale-ou-ministere_673550
Direction Générale Des Finances Publiques,DGFiP/MEF,https://lannuaire.service-public.fr/gouvernement/administration-centrale-ou-ministere_170702
Direction générale du numérique,DGNUM/MinArm,https://lannuaire.service-public.fr/gouvernement/administration-centrale-ou-ministere_172220
Direction interarmées des réseaux d'infrastructure et des systèmes d'information,DIRISI/MinArm,https://lannuaire.service-public.fr/gouvernement/administration-centrale-ou-ministere_172076
Direction interministérielle du numérique,DINUM,https://lannuaire.service-public.fr/gouvernement/administration-centrale-ou-ministere_194230
Groupe Logiciel / Cellule Nationale Logicielle,GL/CNL/MESRI,https://lannuaire.service-public.fr/gouvernement/administration-centrale-ou-ministere_583066
Ministère de l'Agriculture et de l'Alimentation,MAA,https://lannuaire.service-public.fr/gouvernement/administration-centrale-ou-ministere_172214
Pôle emploi,Pôle emploi,https://lannuaire.service-public.fr/gouvernement/etablissement-public_167191
Pôle Logiciels Libres,EOLE/MENJ,https://eole.ac-dijon.fr
Préfecture de police - Bouches-du-Rhône,...,https://lannuaire.service-public.fr/provence-alpes-cote-d-azur/bouches-du-rhone/pp_marseille-13055-01
Service des technologies et des systèmes d'information de la sécurité intérieure,ST(SI)²/MI,https://lannuaire.service-public.fr/gouvernement/administration-centrale-ou-ministere_191801
Service du numérique du Ministère de la Transition écologique et solidaire,SNUM/MTES,https://lannuaire.service-public.fr/gouvernement/administration-centrale-ou-ministere_178616
Sorbonne Université,SU,https://lannuaire.service-public.fr/gouvernement/etablissement-d-enseignement_1209845
Université de Lille,Université de Lille,https://lannuaire.service-public.fr/gouvernement/etablissement-d-enseignement_1205133
Secrétariat général des ministères chargés des affaires sociales,Ministères sociaux,https://lannuaire.service-public.fr/gouvernement/administration-centrale-ou-ministere_170722
Institut national de la statistique et des études économiques,Insee,https://lannuaire.service-public.fr/gouvernement/administration-centrale-ou-ministere_171839

