ID,nom,fonction,annees,statut,parent,public,similaire-a,wikidata,comptoir-du-libre,licence,secteur,composant,contexte-usage,groupe,version
1,7zip,Compression,2018 ; 2019 ; 2020,R,,,,Q215051,72,LGPL-2.0-only,Données et contenu,Compression décompression,,MIMO,19
2,Acceleo,Outil et/ou plugin de génération de tout ou partie du code,2018 ; 2019 ; 2020,R,,,,Q2822666,304,EPL-2.0,Conception & développement,Environnement de développement intégré (IDE),Outil et/ou plugin de génération de tout ou partie du code,MIMDEV,3.7.7
3,Additional Alerts,Notifications supplémentaires à celles incluses dans GLPI,2018 ; 2020,O,GLPI,,,,93,GPL-2.0-only,Opérations,Déploiement gestion d’actif et de configuration,Gestion des tickets,MIMO,2.1.2
4,Agent OCS,"Inventaire, télédéploiement et découverte du réseau",2018 ; 2019 ; 2020,R,OCS Inventory,,,,88,GPL-2.0-only,Opérations,Déploiement gestion d’actif et de configuration,,MIMO,2.4
5,Ansible,Déploiement,2018 ; 2019 ; 2020,R,,,,Q2852503,225,,Opérations,Outils système & virtualisation,Services déconcentrés,MIMPROD,Distribution
6,Apache HTTP Server,Serveur Web & Reverse Proxy,2018 ; 2019 ; 2020,R,,,,Q11354,212,,Réseau,Serveur Web & Reverse Proxy,Services déconcentrés,MIMPROD,Distribution
7,Apache Jmeter,Robot de test / Injecteurs,2018 ; 2019 ; 2020,R,,,,Q616885,109,,Conception & Développement,Test & Intégration,,MIMDEV,5.2
8,Apache Maven,Outil de gestion des dépendances entre les différents composants d'un projet et cycle de vie,2018 ; 2019 ; 2020,R,,,,Q139941,176,Apache-2.0,Conception & Développement,"Installation, Packaging, Diffusion et Distribution",,MIMDEV,3.5.2
9,Apache Solr,Indexation et recherche plein texte,2018 ; 2019 ; 2020,R,,,,Q2858103,204,,Données et contenu,Moteur de recherche,Limité à 1 serveur,MIMPROD,8.0.0
10,Apache Tomcat,Environnement de développement,2018 ; 2019 ; 2020,R,,,,Q507430,205,,Conception & Développement,Serveur d'application,,MIMDEV,9
11,ARX Data Anonymization Tool,Outil d'anonymisation des données,2019 ; 2020,O,,,,,310,,Conception & Développement,Test & Intégration,,MIMDEV,3.7.6
